from,to,flight_time,amount_of_money
JFK,LHR,7h 15m,$806.51
JFK,CDG,7h 35m,$655.07
JFK,AMS,7h 35m,$732.71
JFK,FRA,8h,$752.22
JFK,MAD,7h 30m,$862.68
JFK,FCO,8h 50m,$980.85
JFK,MUC,8h 20m,$1005.22
JFK,ZRH,8h 10m,$720.27
JFK,DXB,13h 40m,$1355.13
JFK,GRU,9h 45m,$830.06
JFK,MEX,4h 40m,$459.53
JFK,YYZ,1h 25m,$194.34
JFK,YUL,1h 20m,$154.07
JFK,MIA,2h 50m,$291.21
JFK,LAX,5h 25m,$618.42
JFK,ORD,2h 10m,$267.72
JFK,ATL,2h 10m,$238.67
JFK,BOS,1h 5m,$166.14
JFK,SFO,5h 40m,$676.91
JFK,DFW,3h 20m,$311.92
JFK,DEN,3h 50m,$477.23
JFK,SEA,5h 20m,$618.30
JFK,NRT,13h 30m,$1293.01
JFK,ICN,13h 45m,$1222.24
JFK,HKG,16h,$1906.96
JFK,SIN,18h 45m,$1779.69
JFK,DOH,13h 25m,$1157.34
JFK,IST,10h 10m,$891.34
LAX,NRT,11h,$1287.46
LAX,ICN,12h 5m,$1286.81
LAX,SYD,14h 55m,$1696.79
LAX,MEL,15h 45m,$1739.52
LAX,PVG,13h,$1347.29
LAX,HKG,14h 30m,$1738.75
LAX,SIN,17h 20m,$1673.53
LAX,YVR,2h 45m,$333.56
LAX,MEX,3h 40m,$466.80
LAX,GRU,12h 25m,$1329.01
LAX,ORD,4h,$511.57
LAX,DFW,3h 5m,$365.49
LAX,DEN,2h 20m,$308.27
LAX,SEA,2h 35m,$251.00
LAX,ATL,4h 25m,$436.54
LAX,MIA,5h 10m,$515.61
LAX,SFO,1h 25m,$158.52
LAX,LHR,11h 5m,$1021.93
LAX,CDG,11h 25m,$998.40
LAX,AMS,11h 15m,$1062.27
SFO,NRT,10h 25m,$1131.80
SFO,ICN,11h 25m,$1114.97
SFO,PVG,12h 20m,$1204.18
SFO,SYD,14h 50m,$1339.51
SFO,AKL,13h 5m,$1220.85
SFO,YVR,2h 15m,$320.57
SFO,LHR,10h 55m,$1184.37
SFO,CDG,11h 15m,$1209.43
SFO,FRA,11h 30m,$1034.51
SFO,SEA,2h,$274.27
SFO,DEN,2h 35m,$266.19
SFO,ORD,4h 15m,$446.81
SFO,DFW,3h 30m,$471.76
SFO,ATL,4h 45m,$550.57
ORD,LHR,8h 10m,$877.39
ORD,CDG,8h 35m,$958.78
ORD,FRA,8h 55m,$1052.84
ORD,AMS,8h 30m,$983.28
ORD,NRT,12h 35m,$1156.36
ORD,ICN,13h 5m,$1102.09
ORD,GRU,10h 40m,$1022.13
ORD,MEX,3h 55m,$401.02
ORD,YYZ,1h 35m,$184.20
ORD,ATL,1h 55m,$278.94
ORD,DFW,2h 15m,$314.42
ORD,DEN,2h 25m,$270.16
ORD,SEA,4h,$471.34
ORD,MIA,3h,$335.01
ORD,BOS,2h 25m,$331.98
ATL,LHR,8h 40m,$892.61
ATL,CDG,9h 5m,$856.62
ATL,AMS,9h 5m,$851.13
ATL,FRA,9h 30m,$1004.73
ATL,DXB,15h 5m,$1397.30
ATL,NRT,13h 40m,$1441.61
ATL,ICN,14h 15m,$1673.05
ATL,GRU,9h 35m,$955.40
ATL,BOG,4h 45m,$462.12
ATL,LIM,6h 45m,$855.55
ATL,MEX,3h 15m,$374.96
ATL,MIA,1h 50m,$199.91
ATL,DFW,2h 5m,$216.54
ATL,DEN,3h,$296.68
MIA,LHR,9h 5m,$993.06
MIA,MAD,9h 5m,$1052.15
MIA,FCO,10h 30m,$1055.75
MIA,GRU,8h 30m,$738.06
MIA,GIG,8h 40m,$861.21
MIA,BOG,3h 35m,$484.20
MIA,LIM,5h 40m,$620.08
MIA,SCL,8h 35m,$1055.55
MIA,EZE,9h 5m,$1078.56
MIA,MEX,3h 10m,$295.33
MIA,DFW,2h 50m,$362.29
DFW,LHR,9h 45m,$1076.64
DFW,CDG,10h 5m,$1058.23
DFW,FRA,10h 25m,$983.89
DFW,NRT,12h 55m,$1388.85
DFW,ICN,13h 40m,$1188.63
DFW,GRU,10h 25m,$1051.39
DFW,MEX,2h 30m,$295.18
DFW,BOG,5h 20m,$680.61
DFW,LIM,7h 5m,$860.27
DFW,SCL,10h,$941.34
DFW,DEN,1h 55m,$245.22
DEN,LHR,9h 35m,$870.42
DEN,CDG,9h 55m,$1192.73
DEN,NRT,11h 40m,$1368.46
DEN,ICN,12h 30m,$1178.47
DEN,SEA,2h 40m,$332.73
BOS,LHR,6h 55m,$761.53
BOS,CDG,7h 15m,$664.01
BOS,AMS,7h 15m,$843.40
BOS,DXB,13h 20m,$1382.53
BOS,ICN,13h 40m,$1540.23
BOS,NRT,13h 25m,$1384.58
BOS,YYZ,1h 35m,$168.94
BOS,YUL,1h 15m,$161.61
SEA,NRT,9h 45m,$825.23
SEA,ICN,10h 35m,$1271.99
SEA,PVG,11h 35m,$1358.46
SEA,SIN,16h,$1830.41
SEA,YVR,1h,$138.65
SEA,AKL,14h,$1187.59
YYZ,LHR,7h 25m,$898.18
YYZ,CDG,7h 50m,$961.08
YYZ,AMS,7h 45m,$688.68
YYZ,FRA,8h 10m,$854.10
YYZ,NRT,12h 50m,$1099.62
YYZ,DXB,13h 45m,$1545.53
YYZ,GRU,10h 25m,$1180.95
YYZ,MEX,4h 35m,$430.10
YYZ,YVR,4h 40m,$507.63
YYZ,YUL,1h 20m,$187.97
YVR,NRT,9h 35m,$903.69
YVR,ICN,10h 25m,$1225.49
YVR,PVG,11h 20m,$1133.16
YVR,SYD,15h 25m,$1397.50
YVR,HKG,12h 50m,$1331.73
YUL,LHR,6h 55m,$792.11
YUL,CDG,7h 15m,$677.05
YUL,AMS,7h 15m,$707.06
LHR,CDG,1h 10m,$197.45
LHR,AMS,1h 10m,$178.42
LHR,FRA,1h 30m,$196.87
LHR,MAD,2h 10m,$271.44
LHR,BCN,7h,$634.82
LHR,FCO,2h 25m,$262.06
LHR,MUC,1h 50m,$220.27
LHR,ZRH,1h 40m,$224.37
LHR,VIE,2h 15m,$245.17
LHR,CPH,1h 55m,$213.66
LHR,ARN,2h 30m,$246.72
LHR,HEL,2h 55m,$356.39
LHR,OSL,2h 10m,$237.89
LHR,WAW,2h 30m,$341.41
LHR,PRG,2h,$280.40
LHR,BUD,2h 30m,$249.32
LHR,ATH,3h 35m,$365.74
LHR,LIS,2h 35m,$326.46
LHR,DUB,1h 15m,$158.52
LHR,MAN,1h,$132.47
